UDI,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,operational_hours,RUL,Vibration (mm/s),Pressure (Pa),Maintenance Required,Temp_Change,Vib_Change,Temperature_Mean,Vibration_Mean,Pressure_Mean,RPM_Mean,Anomaly
1,298.1,308.6,1551,42.8,0,0,831,4167.779109,0.0336109885714845,0.404078701401827,1,-2.05519794140351e-05,-1.59277251323152e-05,0.239310962852531,-0.399946537495563,0.494977172200361,0.613714399777756,1
2,298.2,308.7,1408,46.3,3,0,4061,937.137258,0.302949344440908,1.03326465813954,1,0.406403739988603,0.190253575421738,0.306375985928248,-0.153149383518499,0.356845352293865,0.413726666430751,1
3,298.1,308.5,1498,49.4,5,0,4801,197.222359,-0.712680564882449,1.59760510847153,1,-0.274655663318806,-0.71749041294751,0.114603446557561,0.0680123600278563,-0.18525289913531,0.32042984856448,1
4,298.2,308.6,1433,39.5,7,0,2604,2393.654227,-0.0003411591553862,0.0588879977624244,0,-0.141410752118208,0.50320413672545,0.314256470185501,0.545571768707126,-0.831316679822953,0.547667642575397,1
5,298.2,308.7,1408,40.0,9,0,714,4285.083772,-1.62327129645237,-0.618950604773516,0,-0.296158220452124,-1.14650733578616,0.603556900806462,0.805944682479712,-0.898511655440816,0.513951465821744,-1
6,298.1,308.6,1425,41.9,11,0,3906,1092.71113,1.2675967584568,-0.286580398130652,0,0.542867427093072,2.04218866914778,0.575776846586855,1.44911226556418,-0.770002342431162,0.56383293279975,-1
7,298.1,308.6,1558,42.4,14,0,1819,3177.235519,1.40875806217268,-1.67722659900633,0,-0.50887432339512,0.099705075749794,0.676519460771683,0.922969848431264,-1.02329109767486,0.718557853518565,1
8,298.1,308.6,1527,40.2,16,0,4869,126.6500006,1.67511647851389,-1.63271379496668,0,1.1094681395564,0.188148447796633,0.739596460711994,0.546857196132054,-0.730790292994949,0.609095745427941,1
9,298.3,308.7,1667,28.6,18,0,1687,3307.410677,1.30152340970754,-0.277086880326888,0,0.175592329986364,-0.263934400649057,0.51595905803777,0.0207993368577325,-0.229459645193455,0.229904223308099,1
10,298.5,309.0,1741,28.0,21,0,1711,3282.465782,1.59256661896999,0.023595960274751,0,-1.41738965749187,0.205586600150563,0.489662299221153,-0.209331015641435,-0.435341467981109,-0.367287784123028,1
11,298.4,308.9,1782,23.9,24,0,996,3998.219365,-1.3631153272078,-1.55302417434916,0,0.997337705387701,-2.08800719634365,0.273847013225989,-0.24542724214299,-0.481539903356036,-0.831000680844492,1
12,298.6,309.1,1423,44.3,29,0,377,4618.25022,-0.471805199323365,-0.214722575606761,1,-0.64206407427998,0.629634961153702,-0.212900339026023,0.221513484434931,-0.193250529183395,-0.720614841883904,1
13,298.6,309.1,1339,51.1,34,0,4747,246.7021393,-0.955172817857709,0.873939444040783,1,0.0956145060692255,-0.341482765298029,-0.564303188775423,0.345716624054548,-0.236518816053961,-0.543720380285976,1
14,298.6,309.2,1742,30.0,37,0,1736,3261.24451,0.150871647211705,-1.30649599426515,1,0.873410531601854,0.781330383489186,-0.381529844907068,0.281911427163726,-0.734904212178942,-0.152058491421632,1
15,298.6,309.2,2035,19.6,40,0,2258,2738.40399,1.41208548646222,-0.207396216599881,0,-2.08754799499064,0.890947150227611,-0.483383959076616,-0.0588296856310694,-0.749255684484309,0.216048260258653,-1
